101m Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1tu7 Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1tu8 Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 0
1tu9 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 5
1tuk Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1tuz Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1tv9 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1tva Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1tw2 Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 14
1tw3 Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 15
1tw9 Sequence Parse Errors: 128; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 0
1twa Sequence Parse Errors: 327; Helix Parse Errors: 0; Helix Extraction Errors: 78; Helix to Digit Errors: 23
1twc Sequence Parse Errors: 327; Helix Parse Errors: 0; Helix Extraction Errors: 78; Helix to Digit Errors: 23
1twf Sequence Parse Errors: 327; Helix Parse Errors: 0; Helix Extraction Errors: 81; Helix to Digit Errors: 22
1twg Sequence Parse Errors: 327; Helix Parse Errors: 0; Helix Extraction Errors: 80; Helix to Digit Errors: 23
1twh Sequence Parse Errors: 327; Helix Parse Errors: 0; Helix Extraction Errors: 85; Helix to Digit Errors: 24
1twn Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1two Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1twr Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1tx4 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 7
1tx9 Sequence Parse Errors: 24; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1txd Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 8
1txg Sequence Parse Errors: 52; Helix Parse Errors: 0; Helix Extraction Errors: 24; Helix to Digit Errors: 0
1txi Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 6
1txq Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 2
1txu Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 10
1tyh Sequence Parse Errors: 80; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 27
1tyq Sequence Parse Errors: 156; Helix Parse Errors: 0; Helix Extraction Errors: 46; Helix to Digit Errors: 19
1tzt Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1tzu Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1tzv Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1tzw Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1tzx Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1tzy Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 18
1u00 Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 4
1u0b Sequence Parse Errors: 42; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1u0h Sequence Parse Errors: 66; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 12
1u13 Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1u15 Sequence Parse Errors: 148; Helix Parse Errors: 0; Helix Extraction Errors: 53; Helix to Digit Errors: 0
1u16 Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1u2j Sequence Parse Errors: 208; Helix Parse Errors: 0; Helix Extraction Errors: 62; Helix to Digit Errors: 55
1u2k Sequence Parse Errors: 24; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 8
1u2l Sequence Parse Errors: 48; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 16
1u2v Sequence Parse Errors: 156; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 18
1u2w Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1u35 Sequence Parse Errors: 102; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 25
1u3c Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1u3d Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1u3q Sequence Parse Errors: 76; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 14
1u3r Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1u3s Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1u4j Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1u4q Sequence Parse Errors: 51; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 15
1u5i Sequence Parse Errors: 69; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 4
1u5p Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 5
1u5t Sequence Parse Errors: 63; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 8
1u61 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 5
1u67 Sequence Parse Errors: 47; Helix Parse Errors: 0; Helix Extraction Errors: 21; Helix to Digit Errors: 0
1u6g Sequence Parse Errors: 164; Helix Parse Errors: 0; Helix Extraction Errors: 47; Helix to Digit Errors: 36
1u6r Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 26; Helix to Digit Errors: 0
1u6z Sequence Parse Errors: 80; Helix Parse Errors: 0; Helix Extraction Errors: 28; Helix to Digit Errors: 0
1u73 Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1u74 Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 32; Helix to Digit Errors: 12
1u75 Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 25; Helix to Digit Errors: 11
1u78 Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1u7k Sequence Parse Errors: 66; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1u7r Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1u7s Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1u84 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 4
1u87 Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1u88 Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1u89 Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 4
1u8r Sequence Parse Errors: 156; Helix Parse Errors: 0; Helix Extraction Errors: 43; Helix to Digit Errors: 0
1u8v Sequence Parse Errors: 153; Helix Parse Errors: 0; Helix Extraction Errors: 58; Helix to Digit Errors: 0
1u96 Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1u97 Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1u9e Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 6
1u9l Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 4
1u9n Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 7
1u9o Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 12
1u9p Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ua5 Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1ub2 Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 25; Helix to Digit Errors: 0
1ub9 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ubb Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ubv Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1ubw Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1ubx Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1uby Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1uc3 Sequence Parse Errors: 144; Helix Parse Errors: 0; Helix Extraction Errors: 36; Helix to Digit Errors: 0
1uc4 Sequence Parse Errors: 150; Helix Parse Errors: 0; Helix Extraction Errors: 59; Helix to Digit Errors: 17
1uc5 Sequence Parse Errors: 150; Helix Parse Errors: 0; Helix Extraction Errors: 59; Helix to Digit Errors: 16
1ucp Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1ucr Sequence Parse Errors: 13; Helix Parse Errors: 1; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ucv Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1ud0 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 9
1udd Sequence Parse Errors: 73; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 0
1udt Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 12
1udu Sequence Parse Errors: 50; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 22
1udy Sequence Parse Errors: 124; Helix Parse Errors: 0; Helix Extraction Errors: 30; Helix to Digit Errors: 0
1ue8 Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1ued Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 26; Helix to Digit Errors: 0
1ueg Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1uer Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 32; Helix to Digit Errors: 5
1ues Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 32; Helix to Digit Errors: 5
1uet Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1ueu Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1uev Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1uf2 Sequence Parse Errors: 626; Helix Parse Errors: 0; Helix Extraction Errors: 186; Helix to Digit Errors: 99
1ufa Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1ufb Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1ufi Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ufj Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1ufm Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 2
1ufp Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ufz Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ug0 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ug2 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1ug3 Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 24; Helix to Digit Errors: 24
1ug7 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1ug9 Sequence Parse Errors: 79; Helix Parse Errors: 0; Helix Extraction Errors: 19; Helix to Digit Errors: 0
1ugo Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1uhh Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 16
1uhi Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 16
1uhj Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 16
1uhk Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 16
1uhl Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 11
1uhm Sequence Parse Errors: 7; Helix Parse Errors: 1; Helix Extraction Errors: 1; Helix to Digit Errors: 1
1uhn Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 5
1uho Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 12
1uhr Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1uhs Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1uhu Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1uhw Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ui5 Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ui6 Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1uiw Sequence Parse Errors: 92; Helix Parse Errors: 0; Helix Extraction Errors: 33; Helix to Digit Errors: 20
1uj8 Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ujj Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ujo Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ujs Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ujz Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 1
1uk0 Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 0
1uk1 Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 12
1uk5 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ukl Sequence Parse Errors: 157; Helix Parse Errors: 0; Helix Extraction Errors: 55; Helix to Digit Errors: 6
1ukw Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 21; Helix to Digit Errors: 11
1ul1 Sequence Parse Errors: 153; Helix Parse Errors: 0; Helix Extraction Errors: 45; Helix to Digit Errors: 5
1ulv Sequence Parse Errors: 79; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 0
1ulw Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1ulx Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1uly Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1umn Sequence Parse Errors: 156; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1umo Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ump Sequence Parse Errors: 147; Helix Parse Errors: 0; Helix Extraction Errors: 39; Helix to Digit Errors: 0
1umq Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1umv Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1un0 Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 40; Helix to Digit Errors: 24
1un8 Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1un9 Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1une Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1unf Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1ung Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 19; Helix to Digit Errors: 8
1unh Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 10
1unk Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1unl Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 10
1uom Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 7
1uor Sequence Parse Errors: 45; Helix Parse Errors: 2; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1uou Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1up8 Sequence Parse Errors: 184; Helix Parse Errors: 0; Helix Extraction Errors: 60; Helix to Digit Errors: 0
1up9 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1upd Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1upg Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1upk Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1upl Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 0
1upt Sequence Parse Errors: 76; Helix Parse Errors: 1; Helix Extraction Errors: 13; Helix to Digit Errors: 12
1upv Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 7
1upw Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 7
1uqv Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 3
1urf Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 2
1uru Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1urv Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ury Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1us6 Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1us7 Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 5
1usb Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 13
1uss Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 3
1ust Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 2
1ut0 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ut5 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1ut8 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 0
1ut9 Sequence Parse Errors: 47; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 11
1utc Sequence Parse Errors: 58; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1utg Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1utr Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 4
1utu Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1utx Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1uuj Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 12
1uva Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1uvb Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1uvc Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1uvh Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1uvx Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1uvy Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1uw4 Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 22
1uwo Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1ux4 Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 33; Helix to Digit Errors: 17
1ux5 Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 9
1ux8 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1ux9 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1uxc Sequence Parse Errors: 5; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1uxd Sequence Parse Errors: 5; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1uyu Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 0
1uz3 Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1uzc Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1uzr Sequence Parse Errors: 69; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 0
1v07 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1v0h Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 5
1v2a Sequence Parse Errors: 68; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1v2z Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 4
1v31 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1v32 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1v38 Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1v3f Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1v40 Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1v4a Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1v4e Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1v4h Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1v4i Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1v4j Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1v4k Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1v4r Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 1
1v5c Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 11
1v5d Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 22
1v5h Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 6
1v5k Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1v63 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
